------------------------------- 
------------------------------- 
Variable number: 1
    nb_cells 	     L1_norms 	     L2_norms 
250 	   0.00025012 	   0.00721779 
 
260 	   0.00023905 	   0.00703476 
 
270 	   0.00022420 	   0.00667508 
 
280 	   0.00021461 	   0.00650851 
 
290 	   0.00020465 	   0.00630383 
 
300 	   0.00019541 	   0.00610887 
 
310 	   0.00018727 	   0.00594197 
 
320 	   0.00017860 	   0.00573811 
 
330 	   0.00017189 	   0.00560665 
 
340 	   0.00016646 	   0.00551628 
 
350 	   0.00015757 	   0.00526807 
 
360 	   0.00015259 	   0.00517990 
 
370 	   0.00014698 	   0.00505346 
 
380 	   0.00014169 	   0.00493069 
 
390 	   0.00013705 	   0.00482811 
 
400 	   0.00013174 	   0.00468944 
 
410 	   0.00012793 	   0.00461069 
 
420 	   0.00012321 	   0.00446262 
 
430 	   0.00011897 	   0.00437776 
 
440 	   0.00011617 	   0.00432895 
 
450 	   0.00011267 	   0.00424410 
 
460 	   0.00010848 	   0.00411436 
 
------------------------------- 
------------------------------- 
Variable number: 2
    nb_cells 	     L1_norms 	     L2_norms 
250 	   0.00568765 	   0.09439193 
 
260 	   0.00552934 	   0.09005758 
 
270 	   0.00522067 	   0.08376997 
 
280 	   0.00508845 	   0.08011252 
 
290 	   0.00493158 	   0.07621940 
 
300 	   0.00478855 	   0.07263758 
 
310 	   0.00467809 	   0.06956164 
 
320 	   0.00452527 	   0.06615383 
 
330 	   0.00445425 	   0.06373606 
 
340 	   0.00445262 	   0.06194807 
 
350 	   0.00421619 	   0.05828101 
 
360 	   0.00420488 	   0.05665348 
 
370 	   0.00414223 	   0.05465038 
 
380 	   0.00408244 	   0.05276646 
 
390 	   0.00405136 	   0.05119193 
 
400 	   0.00394974 	   0.04921157 
 
410 	   0.00394341 	   0.04799736 
 
420 	   0.00385405 	   0.04626790 
 
430 	   0.00378539 	   0.04476099 
 
440 	   0.00381165 	   0.04400524 
 
450 	   0.00377448 	   0.04285454 
 
460 	   0.00367507 	   0.04130389 
 
------------------------------- 
------------------------------- 
Variable number: 3
    nb_cells 	     L1_norms 	     L2_norms 
250 	   0.00005041 	   0.00146266 
 
260 	   0.00004772 	   0.00143751 
 
270 	   0.00004551 	   0.00138019 
 
280 	   0.00004330 	   0.00135708 
 
290 	   0.00004132 	   0.00132647 
 
300 	   0.00003951 	   0.00129720 
 
310 	   0.00003783 	   0.00127257 
 
320 	   0.00003632 	   0.00124025 
 
330 	   0.00003487 	   0.00122065 
 
340 	   0.00003352 	   0.00120799 
 
350 	   0.00003234 	   0.00116595 
 
360 	   0.00003119 	   0.00115328 
 
370 	   0.00003013 	   0.00113325 
 
380 	   0.00002914 	   0.00111375 
 
390 	   0.00002821 	   0.00109779 
 
400 	   0.00002734 	   0.00107450 
 
410 	   0.00002653 	   0.00106205 
 
420 	   0.00002564 	   0.00103144 
 
430 	   0.00002502 	   0.00102212 
 
440 	   0.00002438 	   0.00101474 
 
450 	   0.00002374 	   0.00100049 
 
460 	   0.00002304 	   0.00097598 
 
------------------------------- 
------------------------------- 
Variable number: 4
    nb_cells 	     L1_norms 	     L2_norms 
250 	   0.00020641 	   0.00644981 
 
260 	   0.00019768 	   0.00629208 
 
270 	   0.00019375 	   0.00626348 
 
280 	   0.00018633 	   0.00612985 
 
290 	   0.00018034 	   0.00603249 
 
300 	   0.00017481 	   0.00594143 
 
310 	   0.00016943 	   0.00584606 
 
320 	   0.00016502 	   0.00577534 
 
330 	   0.00016009 	   0.00567847 
 
340 	   0.00015527 	   0.00557204 
 
350 	   0.00015196 	   0.00553676 
 
360 	   0.00014770 	   0.00544408 
 
370 	   0.00014405 	   0.00537203 
 
380 	   0.00014062 	   0.00530406 
 
390 	   0.00013735 	   0.00523403 
 
400 	   0.00013419 	   0.00517723 
 
410 	   0.00013126 	   0.00510611 
 
420 	   0.00012671 	   0.00498513 
 
430 	   0.00012560 	   0.00499308 
 
440 	   0.00012342 	   0.00492559 
 
450 	   0.00012116 	   0.00486984 
 
460 	   0.00011788 	   0.00480058 
 
    nb_cells 	     x_offset 
250 	  -0.00042920 
260 	  -0.00042729 
270 	  -0.00042761 
280 	  -0.00042604 
290 	  -0.00042507 
300 	  -0.00042419 
310 	  -0.00042317 
320 	  -0.00042270 
330 	  -0.00042164 
340 	  -0.00042030 
350 	  -0.00042067 
360 	  -0.00041954 
370 	  -0.00041889 
380 	  -0.00041828 
390 	  -0.00041756 
400 	  -0.00041727 
410 	  -0.00041649 
420 	  -0.00041622 
430 	  -0.00041586 
440 	  -0.00041500 
450 	  -0.00041452 
460 	  -0.00041442 
