"epsilon","mach_number","pressure","rad_temp","rho","rhoE","rhou","temperature","GlobalNodeId","PedigreeNodeId","Points:0","Points:1","Points:2"
3.007478804e-06,2.999935597,0.01797501703,0.1216780149,0.9999999771,0.1617753811,0.5192549544,0.1215601379,1,1,-0.01310054492,0,0
3.007478925e-06,2.999934684,0.01797502929,0.1216780162,1.000000067,0.1617754095,0.5192549969,0.1215602098,2,2,-0.01309645083,0,0
3.007479242e-06,2.999933478,0.01797504084,0.1216780194,1.000000065,0.1617754049,0.5192549544,0.1215602881,3,3,-0.01309235673,0,0
3.007479753e-06,2.999932567,0.01797505308,0.1216780245,1.000000155,0.1617754332,0.5192549969,0.12156036,4,4,-0.01308826357,0,0
3.007480458e-06,2.999931361,0.01797506462,0.1216780317,1.000000154,0.1617754287,0.5192549544,0.1215604382,5,5,-0.01308416948,0,0
3.007481359e-06,2.999930452,0.01797507684,0.1216780408,1.000000243,0.161775457,0.5192549969,0.12156051,6,6,-0.01308007538,0,0
3.007482453e-06,2.999929247,0.01797508837,0.1216780518,1.000000242,0.1617754525,0.5192549544,0.1215605881,7,7,-0.01307598129,0,0
3.007483743e-06,2.999928339,0.01797510058,0.1216780649,1.000000332,0.1617754807,0.5192549969,0.1215606598,8,8,-0.0130718872,0,0
3.007485226e-06,2.999927135,0.01797511209,0.1216780799,1.00000033,0.1617754762,0.5192549544,0.1215607379,9,9,-0.01306779403,0,0
3.007486904e-06,2.999926228,0.0179751243,0.1216780969,1.000000419,0.1617755045,0.5192549969,0.1215608095,10,10,-0.01306369994,0,0
3.007488775e-06,2.999925026,0.01797513579,0.1216781158,1.000000418,0.1617754999,0.5192549544,0.1215608875,11,11,-0.01305960584,0,0
3.007490841e-06,2.999924119,0.01797514799,0.1216781367,1.000000507,0.1617755282,0.5192549969,0.121560959,12,12,-0.01305551175,0,0
3.007493101e-06,2.999922918,0.01797515947,0.1216781595,1.000000505,0.1617755236,0.5192549544,0.1215610369,13,13,-0.01305141766,0,0
3.007495554e-06,2.999922012,0.01797517166,0.1216781844,1.000000595,0.1617755518,0.5192549969,0.1215611084,14,14,-0.01304732356,0,0
3.007498201e-06,2.999920812,0.01797518313,0.1216782111,1.000000593,0.1617755472,0.5192549544,0.1215611863,15,15,-0.0130432304,0,0
3.007501042e-06,2.999919907,0.01797519531,0.1216782399,1.000000683,0.1617755755,0.5192549969,0.1215612577,16,16,-0.01303913631,0,0
3.007504077e-06,2.999918708,0.01797520677,0.1216782706,1.000000681,0.1617755709,0.5192549544,0.1215613355,17,17,-0.01303504221,0,0
3.007507305e-06,2.999917804,0.01797521894,0.1216783032,1.00000077,0.1617755991,0.5192549969,0.1215614068,18,18,-0.01303094812,0,0
3.007510726e-06,2.999916605,0.0179752304,0.1216783378,1.000000768,0.1617755945,0.5192549544,0.1215614846,19,19,-0.01302685402,0,0
3.007514341e-06,2.999915702,0.01797524255,0.1216783744,1.000000858,0.1617756227,0.5192549969,0.1215615559,20,20,-0.01302276086,0,0
3.007518149e-06,2.999914504,0.017975254,0.1216784129,1.000000856,0.1617756181,0.5192549544,0.1215616336,21,21,-0.01301866677,0,0
3.007522151e-06,2.999913601,0.01797526615,0.1216784534,1.000000946,0.1617756463,0.5192549969,0.1215617049,22,22,-0.01301457267,0,0
3.007526345e-06,2.999912403,0.0179752776,0.1216784958,1.000000944,0.1617756417,0.5192549544,0.1215617825,23,23,-0.01301047858,0,0
3.007530733e-06,2.999911502,0.01797528974,0.1216785402,1.000001033,0.1617756699,0.5192549969,0.1215618537,24,24,-0.01300638448,0,0
3.007535314e-06,2.999910304,0.01797530118,0.1216785865,1.000001031,0.1617756653,0.5192549544,0.1215619314,25,25,-0.01300229039,0,0
3.007540088e-06,2.999909403,0.01797531331,0.1216786348,1.000001121,0.1617756935,0.5192549969,0.1215620025,26,26,-0.01299819723,0,0
3.007545055e-06,2.999908206,0.01797532475,0.121678685,1.000001118,0.1617756888,0.5192549544,0.1215620801,27,27,-0.01299410313,0,0
3.007550216e-06,2.999907305,0.01797533688,0.1216787372,1.000001208,0.161775717,0.5192549969,0.1215621513,28,28,-0.01299000904,0,0
3.007555569e-06,2.999906109,0.01797534831,0.1216787914,1.000001206,0.1617757124,0.5192549544,0.1215622288,29,29,-0.01298591495,0,0
3.007561115e-06,2.999905208,0.01797536044,0.1216788475,1.000001295,0.1617757406,0.5192549969,0.1215623,30,30,-0.01298182085,0,0
3.007566854e-06,2.999904012,0.01797537186,0.1216789055,1.000001293,0.1617757359,0.5192549544,0.1215623775,31,31,-0.01297772769,0,0
3.007572785e-06,2.999903112,0.01797538399,0.1216789655,1.000001383,0.1617757641,0.5192549969,0.1215624486,32,32,-0.01297363359,0,0
3.00757891e-06,2.999901916,0.01797539541,0.1216790275,1.000001381,0.1617757595,0.5192549544,0.1215625261,33,33,-0.0129695395,0,0
3.007585228e-06,2.999901016,0.01797540753,0.1216790913,1.00000147,0.1617757877,0.5192549969,0.1215625972,34,34,-0.01296544541,0,0
3.007591738e-06,2.99989982,0.01797541896,0.1216791572,1.000001468,0.161775783,0.5192549544,0.1215626747,35,35,-0.01296135131,0,0
