"epsilon","mach_number","pressure","rad_temp","rho","rhoE","rhou","temperature","GlobalNodeId","PedigreeNodeId","Points:0","Points:1","Points:2"
2.99583e-06,2.99971,0.0179719,0.12156,0.999828,0.161727,0.519126,0.12156,1,1,-0.0562743,0,0
2.99585e-06,3.00017,0.0179781,0.12156,1.00017,0.161824,0.519385,0.12156,2,2,-0.0560166,0,0
2.99583e-06,2.9997,0.0179719,0.12156,0.999828,0.161726,0.519125,0.12156,3,3,-0.055759,0,0
2.99585e-06,3.00017,0.0179781,0.12156,1.00017,0.161824,0.519385,0.12156,4,4,-0.0555013,0,0
2.99583e-06,2.9997,0.0179719,0.12156,0.999827,0.161726,0.519125,0.12156,5,5,-0.0552437,0,0
2.99585e-06,3.00017,0.0179782,0.12156,1.00017,0.161825,0.519386,0.12156,6,6,-0.054986,0,0
2.99583e-06,2.9997,0.0179719,0.12156,0.999827,0.161726,0.519124,0.12156,7,7,-0.0547283,0,0
2.99585e-06,3.00017,0.0179782,0.12156,1.00017,0.161825,0.519386,0.12156,8,8,-0.0544707,0,0
2.99583e-06,2.9997,0.0179719,0.12156,0.999826,0.161726,0.519124,0.12156,9,9,-0.054213,0,0
2.99585e-06,3.00017,0.0179782,0.12156,1.00017,0.161825,0.519387,0.12156,10,10,-0.0539554,0,0
2.99583e-06,2.9997,0.0179719,0.12156,0.999826,0.161726,0.519123,0.12156,11,11,-0.0536977,0,0
2.99585e-06,3.00017,0.0179782,0.12156,1.00017,0.161825,0.519387,0.12156,12,12,-0.0534401,0,0
2.99583e-06,2.9997,0.0179718,0.12156,0.999825,0.161725,0.519123,0.12156,13,13,-0.0531824,0,0
2.99585e-06,3.00017,0.0179782,0.12156,1.00018,0.161825,0.519388,0.12156,14,14,-0.0529247,0,0
2.99583e-06,2.9997,0.0179718,0.12156,0.999825,0.161725,0.519122,0.12156,15,15,-0.0526671,0,0
2.99585e-06,3.00018,0.0179782,0.12156,1.00018,0.161826,0.519388,0.12156,16,16,-0.0524094,0,0
2.99583e-06,2.9997,0.0179718,0.12156,0.999824,0.161725,0.519122,0.12156,17,17,-0.0521518,0,0
2.99585e-06,3.00018,0.0179782,0.12156,1.00018,0.161826,0.519389,0.12156,18,18,-0.0518941,0,0
2.99583e-06,2.99969,0.0179718,0.12156,0.999823,0.161725,0.519121,0.12156,19,19,-0.0516364,0,0
2.99585e-06,3.00018,0.0179782,0.12156,1.00018,0.161826,0.519389,0.12156,20,20,-0.0513788,0,0
2.99583e-06,2.99969,0.0179718,0.12156,0.999823,0.161725,0.519121,0.12156,21,21,-0.0511211,0,0
2.99585e-06,3.00018,0.0179782,0.12156,1.00018,0.161826,0.51939,0.12156,22,22,-0.0508635,0,0
2.99583e-06,2.99969,0.0179718,0.12156,0.999822,0.161724,0.51912,0.12156,23,23,-0.0506058,0,0
2.99585e-06,3.00018,0.0179782,0.12156,1.00018,0.161826,0.51939,0.12156,24,24,-0.0503481,0,0
2.99583e-06,2.99969,0.0179718,0.12156,0.999822,0.161724,0.51912,0.12156,25,25,-0.0500905,0,0
2.99585e-06,3.00018,0.0179783,0.12156,1.00018,0.161827,0.519391,0.12156,26,26,-0.0498328,0,0
2.99583e-06,2.99969,0.0179718,0.12156,0.999821,0.161724,0.519119,0.12156,27,27,-0.0495752,0,0
2.99585e-06,3.00018,0.0179783,0.12156,1.00018,0.161827,0.519391,0.12156,28,28,-0.0493175,0,0
2.99583e-06,2.99969,0.0179718,0.12156,0.999821,0.161724,0.519119,0.12156,29,29,-0.0490599,0,0
2.99585e-06,3.00018,0.0179783,0.12156,1.00018,0.161827,0.519392,0.12156,30,30,-0.0488022,0,0
2.99583e-06,2.99969,0.0179718,0.12156,0.99982,0.161724,0.519118,0.12156,31,31,-0.0485445,0,0
2.99585e-06,3.00019,0.0179783,0.12156,1.00018,0.161827,0.519392,0.12156,32,32,-0.0482869,0,0
2.99583e-06,2.99969,0.0179717,0.12156,0.99982,0.161723,0.519118,0.12156,33,33,-0.0480292,0,0
