"epsilon","mach_number","pressure","rad_temp","rho","rhoE","rhou","temperature","GlobalNodeId","PedigreeNodeId","Points:0","Points:1","Points:2"
1.6527078472152776327e-05,1.0499758613063472357,0.09916091779950748919,0.18629898743823375407,5.5165856992922286395,0.23984532448241224767,1.0025794497363511582,0.18629828275835105811,1,1,-0.023103788495063781738,0,0
1.6527096816791579404e-05,1.0499726020202133636,0.0991614274089673009,0.18629903913500242552,5.5166015616077004324,0.23984599147989907331,1.0025803551113259271,0.18629870450486477051,2,2,-0.022683719173073768616,0,0
1.6527138755498359241e-05,1.0499695973459397536,0.099161684063225868924,0.18629915732172069864,5.5166088960378374395,0.23984609084152708203,1.0025794499889320033,0.18629893900381314098,3,3,-0.022263651713728904724,0,0
1.652719541375171814e-05,1.0499686779161612193,0.099161907303140908732,0.18629931698897228554,5.5166160951944060997,0.23984647125093921938,1.0025803548028959788,0.18629911529364734379,4,4,-0.021843582391738891602,0,0
1.6527265025688758705e-05,1.0499661649382223683,0.099162103956675434757,0.18629951316012408058,5.5166216071146045863,0.23984651082076574591,1.0025794502894580518,0.18629929861314595274,5,5,-0.021423513069748878479,0,0
1.6527348334661438211e-05,1.0499650269463367547,0.099162353774156247743,0.18629974792963510666,5.5166296175716960093,0.2398469175896713601,1.0025803545039726483,0.18629949743618662295,6,6,-0.021003443747758865356,0,0
1.6527447401741650866e-05,1.049961987511450312,0.099162614967872625416,0.18630002710525075948,5.5166370776355648786,0.23984702190807652422,1.0025794505935936574,0.1862997362185846717,7,7,-0.020583376288414001465,0,0
1.6527564882494536201e-05,1.0499601223215055956,0.099162953579451790231,0.18630035816982132291,5.5166477831813951482,0.23984751725263211974,1.0025803542111928479,0.18630001084572117565,8,8,-0.020163306966423988342,0,0
1.6527704192772218892e-05,1.0499561959014755974,0.099163323411606704716,0.18630075074841317972,5.5166585267503647216,0.2398477304148070588,1.0025794509005401256,0.18630034284252211529,9,9,-0.01974323764443397522,0,0
1.6527869280116079222e-05,1.0499532599062493254,0.099163792847985279821,0.18630121596397700157,5.5166732001300342603,0.23984835636505333345,1.0025803539286048949,0.18630072925462987099,10,10,-0.019323168322443962097,0,0
1.6528064979793377967e-05,1.0499480685932558455,0.099164317543151803136,0.18630176744047619031,5.5166886270989552443,0.23984872459098771635,1.002579451213904127,0.18630119403097439301,11,11,-0.018903099000453948975,0,0
1.6528296885738122542e-05,1.0499436237128354499,0.099164971393195230909,0.18630242093893645272,5.5167088911566981579,0.23984953473484962871,1.0025803536646342717,0.18630173809805272711,12,12,-0.018483031541109085083,0,0
1.65285717677255915e-05,1.0499366521247113226,0.09916571399424245481,0.18630319553266366794,5.5167309108688602493,0.23985012106094796835,1.0025794515421035946,0.1863023896082575126,13,13,-0.01806296221911907196,0,0
1.6528897510169579294e-05,1.049930088421551222,0.099166626873747901194,0.18630411343426142579,5.5167590253580058857,0.23985119001290444718,1.0025803534354118529,0.18630315519043677552,14,14,-0.017642892897129058838,0,0
1.6529283590530589328e-05,1.0499206145402120161,0.099167675705582616907,0.18630520134301792323,5.516790313050113248,0.23985208275500194408,1.0025794519027928509,0.18630406901521470719,15,15,-0.017222823575139045715,0,0
1.6529741104029429659e-05,1.0499110760634007278,0.099168952334193011255,0.18630649051352760059,5.516829449700887622,0.23985351523285702857,1.0025803532718755573,0.18630514572155590369,16,16,-0.016802756115794181824,0,0
1.6530283325151740357e-05,1.0498980861081845806,0.099170431424670066334,0.18630801833648510946,5.5168737623755115251,0.23985483840608970429,1.002579452332178489,0.18630642797176158454,17,17,-0.016382686793804168701,0,0
1.6530925850632243975e-05,1.0498843709805394386,0.099172218859808022873,0.18630982873957707691,5.5169283757784510769,0.23985678146470987282,1.0025803532337147495,0.1863079416094763352,18,18,-0.015962617471814155579,0,0
1.6531687277158366314e-05,1.049866441414798679,0.099174302389710686234,0.18631197409423977396,5.5169909903909557514,0.23985870923204222205,1.0025794529036047287,0.18630974126170815608,19,19,-0.015542549081146717072,0,0
1.6532589507966588321e-05,1.0498468622036303266,0.099176807131415467556,0.18631451607558760508,5.5170673368064653275,0.23986136936793051033,1.0025803534367030423,0.18631186843101285588,20,20,-0.015122479759156703949,0,0
1.6533658592976140588e-05,1.049821994463401742,0.099179739685177625841,0.18631752802398993119,5.5171556647150579167,0.23986414628885574518,1.0025794537644290294,0.18631439459479845477,21,21,-0.014702411368489265442,0,0
1.6534925260964225476e-05,1.0497941825434344842,0.099183251657287557768,0.18632109643667907339,5.5172625299584749925,0.23986781342099880443,1.0025803541062994206,0.1863173831223550736,22,22,-0.014282342046499252319,0,0
1.6536425985751964832e-05,1.0497595715095036084,0.09918737661358832669,0.18632532396064943603,5.5173869790631275833,0.23987178283933741074,1.0025794552090996348,0.18632092920783863144,23,23,-0.013862273655831813812,0,0
1.6538203827654769933e-05,1.0497202031344849971,0.099192302771991480714,0.1863303317479200194,5.5175366995942312087,0.23987686391703685884,1.0025803556827945773,0.18632512672647988383,24,24,-0.01344220433384180069,0,0
1.6540309812114518294e-05,1.049671913126608791,0.099198102076531416427,0.1863362633177860217,5.5177118835160543497,0.2398825077298663011,1.0025794578234983323,0.18633010422210713464,25,25,-0.013022135943174362183,0,0
1.65428041917535187e-05,1.0496163263818940603,0.099205013464661179201,0.18634328808188790894,5.5179217780565146256,0.23988957378776162854,1.0025803590276745059,0.18633599807428039008,26,26,-0.01260206662118434906,0,0
1.6545758252488553159e-05,1.0495488384621798339,0.099213163283613320376,0.18635160638944889278,5.5181682108821643595,0.23989756809362525192,1.0025794627696644756,0.18634298365522791729,27,27,-0.012181997299194335938,0,0
1.6549256140861579706e-05,1.0494704986493552656,0.099222860824590947137,0.18636145461516365196,5.5184625859650102697,0.23990742004339682403,1.0025803658284169195,0.18635125646544331568,28,28,-0.01176192890852689743,0,0
1.6553397246139254915e-05,1.0493760795665849628,0.099234309289738517612,0.18637311178558438329,5.5188090551643718129,0.2399187128803985658,1.002579472346283973,0.18636105749373002571,29,29,-0.011341859586536884308,0,0
1.6558298773981913656e-05,1.0492658350774668463,0.099247915593164398596,0.18638690671185978442,5.5192220113547989513,0.23993247331738420947,1.0025803793917320572,0.18637266428152240993,30,30,-0.010921791195869445801,0,0
1.6564098886535667793e-05,1.0491336604639511787,0.099263991147590491249,0.18640322667135844625,5.519708895419754846,0.23994839299960854517,1.0025794910892631417,0.18638640947969550843,31,31,-0.010501721873879432678,0,0
1.6570960234582855856e-05,1.048978711103196293,0.099283078249462863862,0.18642252712954315852,5.5202882469955607547,0.23996763394335002273,1.0025804061950056578,0.1864026841011056923,32,32,-0.010081653483211994171,0,0
1.6579074058035255977e-05,1.0487936529993024948,0.099305640112786211504,0.18644534297415910062,5.5209721439969001722,0.23999003951430641912,1.0025795279261029425,0.1864219482786484694,33,33,-0.0096615841612219810486,0,0
1.6588664893966067874e-05,1.048576127814059733,0.099332406465783312788,0.18647230133903996974,5.5217848796422819291,0.24001695940142903085,1.0025804589114755139,0.18644474922567108588,34,34,-0.0092415157705545425415,0,0
1.6599995816583237618e-05,1.0483170896576705644,0.099364052522509196952,0.18650413576087460088,5.5227450439836429652,0.24004844850824860747,1.0025796003747913243,0.18647172324833724555,35,35,-0.0088214464485645294189,0,0
1.6613374472597436669e-05,1.0480121030502733692,0.099401566691672382792,0.18654170235043798787,5.5238849042311910509,0.24008611589515213569,1.0025805622815069373,0.18650363108947540236,36,36,-0.0084013780578970909119,0,0
