nb_cells  l1_rho  l1_temp  l1_mach  l1_rad  l2_rho  l2_temp  l2_mach  l2_rad 
10 4.0206347942e-04 2.6533591525e-04 4.9868571946e-04 1.1016581687e-03 2.3572042068e-03 1.5510486018e-03 2.9029093144e-03 6.3878966491e-03
40 6.3735671043e-05 4.1757917851e-05 7.7991151013e-05 1.6311480312e-04 5.1427196657e-04 3.3647543252e-04 6.2652628032e-04 1.2612034515e-03
50 4.5014287823e-05 2.9471712826e-05 5.5009710607e-05 1.1382105300e-04 3.7265167593e-04 2.4362970523e-04 4.5355823289e-04 8.9670661173e-04
70 2.5932479751e-05 1.6962342522e-05 3.1620482375e-05 6.4514522538e-05 2.2043429934e-04 1.4397342600e-04 2.6794276597e-04 5.1664319606e-04
100 1.4057563457e-05 9.1799146139e-06 1.7115572967e-05 3.4534709471e-05 1.2096478886e-04 7.8934037206e-05 1.4686474133e-04 2.7723255664e-04
130 8.8734617128e-06 5.7903685491e-06 1.0796025819e-05 2.1715579075e-05 7.6216119466e-05 4.9711314590e-05 9.2475899363e-05 1.7273288735e-04
160 6.1697332574e-06 4.0231018393e-06 7.5039255772e-06 1.5127132593e-05 5.2526906601e-05 3.4248883828e-05 6.3705385910e-05 1.1845714344e-04
190 4.5887848661e-06 2.9896972019e-06 5.5797858907e-06 1.1313227906e-05 3.8565951350e-05 2.5138064749e-05 4.6757130595e-05 8.6890975902e-05
200 4.2065419219e-06 2.7398697074e-06 5.1145593215e-06 1.0396829658e-05 3.5180726236e-05 2.2928816435e-05 4.2647308321e-05 7.9294092370e-05
210 3.8757920900e-06 2.5235643829e-06 4.7118359156e-06 9.6050456833e-06 3.2246500915e-05 2.1013894881e-05 3.9085805824e-05 7.2729401926e-05
220 3.5874832569e-06 2.3350857336e-06 4.3611664176e-06 8.9167176929e-06 2.9687584644e-05 1.9343762583e-05 3.5979388172e-05 6.7021354318e-05
230 3.3348835460e-06 2.1698206775e-06 4.0532642481e-06 8.3145318703e-06 2.7443191880e-05 1.7878804866e-05 3.3254928262e-05 6.2029398593e-05
240 3.1121961885e-06 2.0241741024e-06 3.7820157758e-06 7.7849586220e-06 2.5464852643e-05 1.6587295433e-05 3.0852876617e-05 5.7641247364e-05
250 2.9150321779e-06 1.8951308578e-06 3.5417267178e-06 7.3168164778e-06 2.3712343448e-05 1.5443103967e-05 2.8725195440e-05 5.3764752301e-05
