nb_cells  l1_rho  l1_temp  l1_mach  l1_rad  l2_rho  l2_temp  l2_mach  l2_rad 
10 4.0221151388e-04 2.6515020591e-04 4.9856608315e-04 1.1011927406e-03 2.3570319987e-03 1.5506500264e-03 2.9007256825e-03 6.3898471627e-03
40 6.3726709435e-05 4.1711127242e-05 7.7904098968e-05 1.6310788859e-04 5.1415781329e-04 3.3633607049e-04 6.2595114426e-04 1.2619401473e-03
50 4.4990327414e-05 2.9437855239e-05 5.4955123495e-05 1.1379962143e-04 3.7256324633e-04 2.4352417325e-04 4.5313548619e-04 8.9726569153e-04
70 2.5918546394e-05 1.6941911457e-05 3.1590128009e-05 6.4480280729e-05 2.2038051244e-04 1.4390850409e-04 2.6768978021e-04 5.1701863092e-04
100 1.4047027708e-05 9.1681435722e-06 1.7092785358e-05 3.4513385499e-05 1.2092508866e-04 7.8899465448e-05 1.4671996578e-04 2.7748337096e-04
130 8.8698545133e-06 5.7813624102e-06 1.0783917776e-05 2.1698289779e-05 7.6203841384e-05 4.9689896105e-05 9.2391964618e-05 1.7291812233e-04
160 6.1677280864e-06 4.0170750819e-06 7.4956058468e-06 1.5112866650e-05 5.2522547379e-05 3.4235205522e-05 6.3650087212e-05 1.1860477649e-04
190 4.5874435856e-06 2.9853759255e-06 5.5739825793e-06 1.1303211951e-05 3.8566261838e-05 2.5128944143e-05 4.6718608761e-05 8.7014652529e-05
200 4.2055530892e-06 2.7359327066e-06 5.1093251630e-06 1.0387788329e-05 3.5182307491e-05 2.2920867658e-05 4.2612959326e-05 7.9413092838e-05
210 3.8750262601e-06 2.5199784425e-06 4.7071264650e-06 9.5970012068e-06 3.2249196707e-05 2.1006971273e-05 3.9055096756e-05 7.2843980525e-05
220 3.5868084419e-06 2.3317867501e-06 4.3568609696e-06 8.9093738024e-06 2.9691300757e-05 1.9337748064e-05 3.5951879535e-05 6.7132466738e-05
230 3.3343085688e-06 2.1667625523e-06 4.0494075479e-06 8.3078923103e-06 2.7447859627e-05 1.7873612532e-05 3.3230272571e-05 6.2137926365e-05
240 3.1117456297e-06 2.0213222586e-06 3.7784845311e-06 7.7788846535e-06 2.5470446555e-05 1.6582865549e-05 3.0830809453e-05 5.7747959237e-05
250 2.9146950037e-06 1.8924524593e-06 3.5385387560e-06 7.3112255509e-06 2.3718792852e-05 1.5439359270e-05 2.8705447135e-05 5.3870173010e-05
