nb_cells  l1_rho  l1_temp  l1_mach  l1_rad 
100 1.7382441786e-03 1.0199637668e-03 4.6042299558e-04 5.2778768222e-02
200 7.4080668835e-04 4.4672210651e-04 1.6264364476e-04 1.4906472911e-02
300 4.5318937578e-04 2.8261679212e-04 9.0753125850e-05 6.5381325075e-03
400 3.0902571719e-04 2.2552259934e-04 6.1373084117e-05 3.7930080435e-03
800 1.2510963456e-04 1.2383102757e-04 2.4522112842e-05 1.5088866565e-03
1600 5.2536425080e-05 7.1894245982e-05 1.3199316365e-05 8.8616436710e-04
2000 3.9603527117e-05 5.7891256487e-05 1.0604693253e-05 6.8404425906e-04
2300 3.3738973602e-05 5.0502956684e-05 9.3511329766e-06 6.0212687338e-04
2600 2.9782874481e-05 4.5919902400e-05 8.5862441346e-06 5.6809250053e-04
3100 2.4845511162e-05 3.9357956683e-05 7.4975249703e-06 5.2765912515e-04
