nb_cells  l1_rho  l1_temp  l1_mach  l1_rad 
100 1.7408933493e-03 9.5291369062e-04 4.4321363629e-04 5.2694743211e-02
200 7.4135876809e-04 4.2647171936e-04 1.5815962434e-04 1.4497194663e-02
300 4.5398136736e-04 2.7936443951e-04 8.9965400988e-05 6.5391195803e-03
400 3.0965123874e-04 2.2290197383e-04 6.0386021102e-05 3.8097625687e-03
800 1.2479853877e-04 1.2282236635e-04 2.4570478243e-05 1.4182428736e-03
1600 5.1271040679e-05 6.9283485153e-05 1.2695970582e-05 7.0904697612e-04
2000 3.7927237294e-05 5.4334091796e-05 9.9582995117e-06 4.8857467506e-04
2300 3.2725785408e-05 4.8291503971e-05 9.0061233538e-06 4.4199945846e-04
2600 2.7805841337e-05 4.2320301377e-05 7.9373134130e-06 3.5183354715e-04
3100 2.3359176365e-05 3.6335215307e-05 7.0167111033e-06 3.2220043873e-04
