nb_cells  l1_rho  l1_temp  l1_mach  l1_rad 
200 1.4246475774e-04 2.9787922690e-04 5.8297429194e-05 2.4033821135e-03
300 8.6607464494e-05 1.7244177832e-04 3.2873803872e-05 1.0659389663e-03
400 5.3074258773e-05 1.1467798022e-04 2.3438998855e-05 8.4297006790e-04
500 4.0516600765e-05 8.5431443804e-05 1.8173113127e-05 8.6996295974e-04
600 3.6128023460e-05 7.0800362946e-05 1.4690281950e-05 5.3373503821e-04
700 3.0445496510e-05 5.7614778833e-05 1.2108387377e-05 4.5971274246e-04
800 2.6562766689e-05 5.0239913395e-05 1.0811786049e-05 4.8094074648e-04
900 2.2550348773e-05 4.3091084107e-05 9.6673440536e-06 5.4338548061e-04
1000 2.0775698761e-05 3.8941308116e-05 8.7694757482e-06 5.0187983936e-04
1100 1.8218883898e-05 3.4402135681e-05 8.0228246771e-06 5.2330551417e-04
1200 1.8113685460e-05 3.3391521903e-05 7.6130940289e-06 4.5254549600e-04
1300 1.6139988667e-05 3.0216165644e-05 7.1535155228e-06 4.6825753759e-04
1400 1.5590866373e-05 2.9274292765e-05 7.0360548115e-06 4.6362880068e-04
1500 1.3189448522e-05 2.5263986271e-05 6.5200723934e-06 5.3671782975e-04
1600 1.3773379623e-05 2.6355639755e-05 6.6628387491e-06 4.7006195899e-04
1700 1.2650512049e-05 2.4527515952e-05 6.4248427052e-06 4.8329201827e-04
1800 1.2953871050e-05 2.5112239938e-05 6.4831161013e-06 4.3719567250e-04
1900 1.2427160778e-05 2.4166767789e-05 6.3408134121e-06 4.3984059452e-04
2000 1.1056904753e-05 2.1875476379e-05 6.0600491775e-06 4.7670954564e-04
