nb_cells  l1_rho  l1_temp  l1_mach  l1_rad 
200 1.5488499296e-04 3.0686426106e-04 5.7589104148e-05 4.2140262058e-03
300 9.4028366841e-05 1.7951947198e-04 3.1906109012e-05 2.2664485795e-03
400 5.9596787407e-05 1.1870785043e-04 2.2283673561e-05 5.2402764836e-04
500 4.4017626246e-05 8.6798944110e-05 1.7056545524e-05 4.4731282430e-04
600 3.5975270400e-05 6.9442143160e-05 1.3858135956e-05 4.1970539159e-04
700 3.1491526561e-05 5.9490373146e-05 1.2213989083e-05 4.2987148566e-04
800 2.7571428112e-05 5.1143156367e-05 1.0668762874e-05 4.0890189945e-04
900 2.3315394412e-05 4.3722099294e-05 9.5472085904e-06 4.7893532873e-04
1000 2.1139152201e-05 3.9342507943e-05 8.7550226831e-06 4.7904777880e-04
1100 1.8369956844e-05 3.4539000456e-05 7.9987109154e-06 5.1036961317e-04
1200 1.7833169573e-05 3.2998454845e-05 7.6085862270e-06 4.7003862044e-04
1300 1.6077557093e-05 3.0024573104e-05 7.1556833783e-06 4.7006440252e-04
1400 1.5292307268e-05 2.8761942149e-05 6.9916797527e-06 4.8307933695e-04
1500 1.3156502545e-05 2.4847427425e-05 6.5053350615e-06 5.5775003331e-04
1600 1.3063429756e-05 2.5227209961e-05 6.5655889463e-06 5.1452457067e-04
1700 1.2032206667e-05 2.3543801417e-05 6.3387447474e-06 5.1921377597e-04
1800 1.1868022299e-05 2.3293716059e-05 6.3247154589e-06 4.9468424855e-04
1900 1.1411996702e-05 2.2468525400e-05 6.2046842360e-06 4.9698940280e-04
2000 1.0282312551e-05 2.0526877754e-05 5.9619791275e-06 5.2415543138e-04
