nb_cells  l1_rho  l1_temp  l1_mach  l1_rad 
100 8.0365044650e-03 1.3290906231e-02 2.8488114211e-03 4.0212219731e-01
200 2.6596696850e-03 5.6257200753e-03 1.1157417480e-03 8.5137242061e-02
300 1.5768474531e-03 3.2629615004e-03 6.5382370323e-04 2.2958633146e-02
400 1.1176503682e-03 2.2309621393e-03 4.4495108292e-04 9.6498413199e-03
500 7.5725399284e-04 1.6185559010e-03 3.2330077554e-04 8.7713178288e-03
600 6.4532847519e-04 1.3055537800e-03 2.6192324383e-04 7.0697906428e-03
700 5.3844805791e-04 1.0775307849e-03 2.2029612947e-04 7.0527473186e-03
800 4.9441508897e-04 9.3520897908e-04 1.8795078313e-04 5.2113752572e-03
900 4.2193611337e-04 8.0272355528e-04 1.6681752824e-04 5.8015094082e-03
1000 3.6653222967e-04 6.9703901317e-04 1.4868754960e-04 6.1080849199e-03
1500 2.4846214541e-04 4.5462745653e-04 1.0311863015e-04 5.7749963711e-03
1600 2.2814046786e-04 4.2071957335e-04 9.8206238241e-05 6.1192590733e-03
2000 1.9539907162e-04 3.6410424874e-04 8.8799412323e-05 5.6078664106e-03
2500 1.7301790442e-04 3.2913260322e-04 8.3885555289e-05 5.1807527701e-03
3000 1.4561527079e-04 2.8500130868e-04 7.7919044498e-05 5.3908258493e-03
3200 1.4453145182e-04 2.8421018349e-04 7.7399442847e-05 5.1831836973e-03
