nb_cells  l1_rho  l1_temp  l1_mach  l1_rad 
100 8.5968968396e-03 1.4635702559e-02 2.8855815955e-03 5.8857934444e-01
200 2.9875673400e-03 5.9562077008e-03 1.1196082644e-03 1.4280765861e-01
300 1.5978721916e-03 3.2367633654e-03 6.2348441211e-04 3.5922044070e-02
400 1.1283677713e-03 2.2173990417e-03 4.2411972859e-04 1.4697223557e-02
500 8.4999926514e-04 1.6764716508e-03 3.1217696174e-04 9.6246893546e-03
600 6.6796518657e-04 1.3141924285e-03 2.4962018947e-04 5.7185645987e-03
700 5.8369701229e-04 1.1112951376e-03 2.1465112760e-04 4.9963489342e-03
800 5.2060188469e-04 9.5809912482e-04 1.8529943550e-04 4.5140838173e-03
900 4.2043614683e-04 7.9007247774e-04 1.6167131197e-04 5.1275907374e-03
1000 3.8195492723e-04 7.1348335433e-04 1.4807806764e-04 5.2718994139e-03
1500 2.4533022872e-04 4.5092480651e-04 1.0324735735e-04 5.9794976481e-03
1600 2.2460306359e-04 4.1678632624e-04 9.8486372121e-05 6.3769136257e-03
2000 1.9169021792e-04 3.5672820661e-04 8.8169561959e-05 5.7361166078e-03
2500 1.4421303892e-04 2.7993244548e-04 7.8653139312e-05 6.4077063738e-03
3000 1.3490631745e-04 2.6545553848e-04 7.6498343422e-05 5.9070097312e-03
3200 1.2296317226e-04 2.4543936863e-04 7.4263466980e-05 6.2184924802e-03
