"rho","rhou","rhoE","epsilon","velocity","internal_energy","pressure","temperature","rad_temp","mach_number","GlobalNodeId","PedigreeNodeId","Points:0","Points:1","Points:2"
1,23.4265,397.88,0.0137623,23.4265,123.48,82.32,1,2.92187,2,1,1,0,0,0
1,23.4265,397.882,0.013763,23.4264,123.482,82.3215,1.00002,2.92189,1.99998,2,2,8e-05,0,0
1.00001,23.4265,397.883,0.013764,23.4264,123.485,82.323,1.00003,2.9219,1.99996,3,3,0.00016,0,0
1.00001,23.4265,397.885,0.0137652,23.4263,123.487,82.3245,1.00005,2.92191,1.99994,4,4,0.00024,0,0
1.00001,23.4265,397.886,0.0137667,23.4262,123.489,82.3261,1.00006,2.92192,1.99992,5,5,0.00032,0,0
1.00001,23.4265,397.888,0.0137685,23.4262,123.491,82.3276,1.00008,2.92193,1.99989,6,6,0.0004,0,0
1.00002,23.4265,397.889,0.0137705,23.4261,123.494,82.3292,1.0001,2.92194,1.99987,7,7,0.00048,0,0
1.00002,23.4265,397.891,0.0137729,23.426,123.496,82.3309,1.00011,2.92196,1.99985,8,8,0.00056,0,0
1.00002,23.4265,397.893,0.0137755,23.4259,123.499,82.3326,1.00013,2.92197,1.99982,9,9,0.00064,0,0
1.00003,23.4265,397.894,0.0137785,23.4259,123.502,82.3344,1.00015,2.92198,1.9998,10,10,0.00072,0,0
1.00003,23.4265,397.896,0.0137818,23.4258,123.504,82.3363,1.00017,2.922,1.99977,11,11,0.0008,0,0
1.00003,23.4265,397.898,0.0137854,23.4257,123.507,82.3382,1.00019,2.92201,1.99975,12,12,0.00088,0,0
1.00004,23.4265,397.9,0.0137894,23.4256,123.51,82.3403,1.00021,2.92203,1.99972,13,13,0.00096,0,0
1.00004,23.4265,397.902,0.0137937,23.4255,123.514,82.3424,1.00023,2.92204,1.99969,14,14,0.00104,0,0
1.00005,23.4265,397.905,0.0137984,23.4254,123.517,82.3447,1.00025,2.92206,1.99965,15,15,0.00112,0,0
1.00005,23.4265,397.907,0.0138036,23.4253,123.521,82.3471,1.00028,2.92208,1.99962,16,16,0.0012,0,0
1.00006,23.4265,397.91,0.0138092,23.4252,123.525,82.3497,1.00031,2.9221,1.99959,17,17,0.00128,0,0
