"jump_grad_press","jump_grad_dens","diffusion_aux","sigma_a_aux","sigma_t_aux","mu_max","kappa_max","mu","kappa","ObjectId","GlobalElementId","PedigreeElementId"
0.0118018,2.84799,0.117132,390.712,853.144,9.36941e-07,1.71787e-06,8.13112e-10,8.13112e-10,0,1,1
0.0236808,5.70588,0.117132,390.712,853.144,9.3694e-07,1.71787e-06,1.589e-09,1.589e-09,0,2,2
0.0236929,5.71934,0.117132,390.712,853.144,9.36939e-07,1.71787e-06,1.59154e-09,1.59154e-09,0,3,3
0.0237282,5.73486,0.117132,390.712,853.144,9.36939e-07,1.71787e-06,1.59609e-09,1.59609e-09,0,4,4
0.0237657,5.75056,0.117132,390.712,853.144,9.36938e-07,1.71787e-06,1.59933e-09,1.59933e-09,0,5,5
0.0238016,5.76624,0.117132,390.712,853.144,9.36937e-07,1.71787e-06,1.60408e-09,1.60408e-09,0,6,6
0.0238392,5.78207,0.117132,390.712,853.144,9.36936e-07,1.71787e-06,1.6072e-09,1.6072e-09,0,7,7
0.0238756,5.79791,0.117132,390.712,853.144,9.36935e-07,1.71787e-06,1.61214e-09,1.61214e-09,0,8,8
0.0239133,5.81387,0.117132,390.712,853.144,9.36934e-07,1.71787e-06,1.61514e-09,1.61514e-09,0,9,9
0.0239504,5.82987,0.117132,390.712,853.144,9.36933e-07,1.71787e-06,1.62026e-09,1.62026e-09,0,10,10
0.0239881,5.84597,0.117132,390.712,853.144,9.36932e-07,1.71787e-06,1.62315e-09,1.62315e-09,0,11,11
0.0240258,5.86213,0.117132,390.712,853.144,9.36931e-07,1.71787e-06,1.62847e-09,1.62847e-09,0,12,12
0.0240636,5.87836,0.117132,390.712,853.144,9.36929e-07,1.71787e-06,1.63124e-09,1.63124e-09,0,13,13
0.0241019,5.89469,0.117132,390.712,853.144,9.36928e-07,1.71787e-06,1.63674e-09,1.63674e-09,0,14,14
0.0241399,5.91107,0.117132,390.712,853.144,9.36926e-07,1.71786e-06,1.6394e-09,1.6394e-09,0,15,15
0.0241788,5.92756,0.117132,390.712,853.144,9.36925e-07,1.71786e-06,1.6451e-09,1.6451e-09,0,16,16
0.0242169,5.94408,0.117132,390.712,853.144,9.36923e-07,1.71786e-06,1.64764e-09,1.64764e-09,0,17,17
0.0242564,5.96074,0.117132,390.712,853.144,9.36921e-07,1.71786e-06,1.65353e-09,1.65353e-09,0,18,18
