"rho","rhou","rhoE","epsilon","velocity","internal_energy","pressure","temperature","rad_temp","mach_number","GlobalNodeId","PedigreeNodeId","Points:0","Points:1","Points:2"
1.0001,0.140559,0.0222284,1.37279e-06,0.140546,0.0123509,0.00823392,0.100014,1.64315,1.19981,1,1,0,0,0
1.00016,0.140558,0.022228,1.37282e-06,0.140537,0.0123513,0.00823417,0.100011,1.64313,1.19974,2,2,4e-05,0,0
1.0001,0.140559,0.0222284,1.37285e-06,0.140546,0.0123509,0.00823394,0.100014,1.64315,1.1998,3,3,8e-05,0,0
1.00016,0.140558,0.0222281,1.37287e-06,0.140536,0.0123513,0.00823419,0.100011,1.64314,1.19974,4,4,0.00012,0,0
1.0001,0.140559,0.0222284,1.3729e-06,0.140545,0.012351,0.00823397,0.100014,1.64315,1.1998,5,5,0.00016,0,0
1.00016,0.140558,0.0222281,1.37293e-06,0.140536,0.0123513,0.00823422,0.100011,1.64314,1.19974,6,6,0.0002,0,0
1.0001,0.140559,0.0222285,1.37296e-06,0.140545,0.012351,0.00823401,0.100014,1.64315,1.1998,7,7,0.00024,0,0
1.00016,0.140558,0.0222281,1.37299e-06,0.140536,0.0123514,0.00823426,0.100011,1.64314,1.19973,8,8,0.00028,0,0
1.0001,0.140559,0.0222285,1.37302e-06,0.140545,0.0123511,0.00823405,0.100014,1.64315,1.19979,9,9,0.00032,0,0
1.00016,0.140558,0.0222282,1.37305e-06,0.140535,0.0123515,0.00823431,0.100012,1.64314,1.19973,10,10,0.00036,0,0
1.00011,0.140559,0.0222286,1.37308e-06,0.140544,0.0123511,0.00823409,0.100015,1.64315,1.19979,11,11,0.0004,0,0
1.00017,0.140558,0.0222282,1.37311e-06,0.140535,0.0123515,0.00823436,0.100012,1.64314,1.19972,12,12,0.00044,0,0
1.00011,0.140559,0.0222286,1.37314e-06,0.140544,0.0123512,0.00823415,0.100015,1.64315,1.19978,13,13,0.00048,0,0
1.00017,0.140558,0.0222283,1.37318e-06,0.140535,0.0123516,0.00823442,0.100012,1.64314,1.19972,14,14,0.00052,0,0
1.00011,0.140559,0.0222287,1.37321e-06,0.140544,0.0123513,0.00823421,0.100016,1.64315,1.19978,15,15,0.00056,0,0
1.00017,0.140558,0.0222284,1.37325e-06,0.140534,0.0123517,0.00823448,0.100013,1.64314,1.19971,16,16,0.0006,0,0
1.00011,0.140559,0.0222287,1.37328e-06,0.140543,0.0123514,0.00823427,0.100016,1.64316,1.19977,17,17,0.00064,0,0
1.00018,0.140558,0.0222284,1.37332e-06,0.140534,0.0123518,0.00823455,0.100013,1.64315,1.1997,18,18,0.00068,0,0
1.00012,0.140559,0.0222288,1.37335e-06,0.140543,0.0123515,0.00823434,0.100017,1.64316,1.19976,19,19,0.00072,0,0
1.00018,0.140558,0.0222285,1.37339e-06,0.140533,0.0123519,0.00823463,0.100014,1.64315,1.1997,20,20,0.00076,0,0
1.00012,0.140559,0.0222289,1.37343e-06,0.140542,0.0123516,0.00823442,0.100017,1.64316,1.19975,21,21,0.0008,0,0
1.00018,0.140558,0.0222286,1.37347e-06,0.140533,0.0123521,0.00823471,0.100014,1.64315,1.19969,22,22,0.00084,0,0
1.00013,0.140559,0.022229,1.37351e-06,0.140542,0.0123518,0.00823451,0.100018,1.64316,1.19975,23,23,0.00088,0,0
1.00019,0.140558,0.0222287,1.37355e-06,0.140532,0.0123522,0.0082348,0.100015,1.64315,1.19968,24,24,0.00092,0,0
1.00013,0.140559,0.0222291,1.37359e-06,0.140541,0.0123519,0.0082346,0.100019,1.64317,1.19974,25,25,0.00096,0,0
1.00019,0.140558,0.0222288,1.37363e-06,0.140531,0.0123523,0.00823489,0.100016,1.64316,1.19967,26,26,0.001,0,0
1.00014,0.140559,0.0222292,1.37368e-06,0.14054,0.012352,0.0082347,0.100019,1.64317,1.19973,27,27,0.00104,0,0
1.0002,0.140558,0.0222289,1.37372e-06,0.14053,0.0123525,0.008235,0.100016,1.64316,1.19966,28,28,0.00108,0,0
1.00014,0.140559,0.0222293,1.37377e-06,0.14054,0.0123522,0.00823481,0.10002,1.64317,1.19971,29,29,0.00112,0,0
1.00021,0.140558,0.022229,1.37382e-06,0.14053,0.0123527,0.00823511,0.100017,1.64316,1.19965,30,30,0.00116,0,0
1.00015,0.140559,0.0222294,1.37386e-06,0.140539,0.0123524,0.00823492,0.100021,1.64318,1.1997,31,31,0.0012,0,0
1.00021,0.140558,0.0222291,1.37391e-06,0.140529,0.0123528,0.00823523,0.100018,1.64316,1.19963,32,32,0.00124,0,0
1.00015,0.140559,0.0222295,1.37397e-06,0.140538,0.0123526,0.00823504,0.100022,1.64318,1.19969,33,33,0.00128,0,0
1.00022,0.140559,0.0222292,1.37402e-06,0.140528,0.012353,0.00823535,0.100019,1.64317,1.19962,34,34,0.00132,0,0
1.00016,0.140559,0.0222296,1.37407e-06,0.140537,0.0123528,0.00823517,0.100023,1.64318,1.19968,35,35,0.00136,0,0
1.00022,0.140559,0.0222294,1.37413e-06,0.140527,0.0123532,0.00823549,0.10002,1.64317,1.19961,36,36,0.0014,0,0
1.00017,0.140559,0.0222298,1.37419e-06,0.140536,0.012353,0.00823531,0.100024,1.64319,1.19966,37,37,0.00144,0,0
1.00023,0.140559,0.0222295,1.37425e-06,0.140526,0.0123534,0.00823563,0.100021,1.64318,1.19959,38,38,0.00148,0,0
1.00017,0.140559,0.0222299,1.37431e-06,0.140535,0.0123532,0.00823545,0.100025,1.64319,1.19965,39,39,0.00152,0,0
1.00024,0.140559,0.0222297,1.37437e-06,0.140525,0.0123537,0.00823578,0.100022,1.64318,1.19958,40,40,0.00156,0,0
1.00018,0.140559,0.0222301,1.37443e-06,0.140534,0.0123534,0.00823561,0.100026,1.6432,1.19963,41,41,0.0016,0,0
1.00025,0.140559,0.0222298,1.3745e-06,0.140524,0.0123539,0.00823594,0.100023,1.64319,1.19956,42,42,0.00164,0,0
1.00019,0.140559,0.0222302,1.37457e-06,0.140533,0.0123537,0.00823578,0.100027,1.6432,1.19961,43,43,0.00168,0,0
1.00026,0.140559,0.02223,1.37463e-06,0.140522,0.0123542,0.00823612,0.100024,1.64319,1.19954,44,44,0.00172,0,0
1.0002,0.140559,0.0222304,1.37471e-06,0.140531,0.0123539,0.00823595,0.100028,1.64321,1.1996,45,45,0.00176,0,0
1.00027,0.140559,0.0222302,1.37478e-06,0.140521,0.0123544,0.0082363,0.100026,1.6432,1.19952,46,46,0.0018,0,0
1.00021,0.140559,0.0222306,1.37485e-06,0.14053,0.0123542,0.00823614,0.10003,1.64321,1.19958,47,47,0.00184,0,0
1.00028,0.140559,0.0222304,1.37493e-06,0.14052,0.0123547,0.00823649,0.100027,1.6432,1.1995,48,48,0.00188,0,0
