"jump_grad_press","jump_grad_dens","mu_max","kappa_max","mu","kappa","ObjectId","GlobalElementId","PedigreeElementId"
1281.9,2.93103,0.000156192,0.000234285,4.48889e-07,4.48889e-07,0,1,1
2567.64,5.84608,0.000156192,0.000234285,8.74032e-07,8.74032e-07,0,2,2
2575.31,5.81086,0.000156191,0.000234285,8.76313e-07,8.76313e-07,0,3,3
2583.13,5.77242,0.000156191,0.000234285,8.75703e-07,8.75703e-07,0,4,4
2590.88,5.73345,0.000156191,0.000234286,8.77878e-07,8.77878e-07,0,5,5
2598.79,5.69438,0.000156191,0.000234286,8.77263e-07,8.77263e-07,0,6,6
2606.62,5.65477,0.000156191,0.000234286,8.79453e-07,8.79453e-07,0,7,7
2614.62,5.61504,0.00015619,0.000234286,8.78823e-07,8.78823e-07,0,8,8
2622.55,5.57478,0.00015619,0.000234286,8.81038e-07,8.81038e-07,0,9,9
2630.65,5.5344,0.00015619,0.000234286,8.80385e-07,8.80385e-07,0,10,10
2638.67,5.49349,0.00015619,0.000234286,8.82633e-07,8.82633e-07,0,11,11
2646.86,5.45244,0.000156189,0.000234286,8.81948e-07,8.81948e-07,0,12,12
2654.98,5.41086,0.000156189,0.000234286,8.84238e-07,8.84238e-07,0,13,13
2663.26,5.36914,0.000156189,0.000234286,8.83513e-07,8.83513e-07,0,14,14
2671.48,5.32687,0.000156189,0.000234287,8.85853e-07,8.85853e-07,0,15,15
2679.86,5.28448,0.000156189,0.000234287,8.85079e-07,8.85079e-07,0,16,16
2688.17,5.24152,0.000156188,0.000234287,8.87479e-07,8.87479e-07,0,17,17
2696.65,5.19843,0.000156188,0.000234287,8.86647e-07,8.86647e-07,0,18,18
2705.06,5.15476,0.000156188,0.000234287,8.89115e-07,8.89115e-07,0,19,19
2713.65,5.11097,0.000156188,0.000234287,8.88216e-07,8.88216e-07,0,20,20
2722.15,5.06659,0.000156187,0.000234287,8.90761e-07,8.90761e-07,0,21,21
2730.84,5.02209,0.000156187,0.000234287,8.89786e-07,8.89786e-07,0,22,22
2739.45,4.97698,0.000156187,0.000234287,8.92418e-07,8.92418e-07,0,23,23
2748.24,4.93176,0.000156186,0.000234287,8.91357e-07,8.91357e-07,0,24,24
2756.95,4.88592,0.000156186,0.000234288,8.94086e-07,8.94086e-07,0,25,25
