"jump_grad_press","mu_max","kappa_max","mu","kappa","ObjectId","GlobalElementId","PedigreeElementId"
218.152,0.0732077,0.0746723,0.000533045,0.000533045,0,1,1
438.765,0.0732077,0.0746723,0.00102402,0.00102402,0,2,2
443.7,0.0732077,0.0746723,0.00103549,0.00103549,0,3,3
448.831,0.0732077,0.0746723,0.00104752,0.00104752,0,4,4
454.142,0.0732077,0.0746723,0.00105991,0.00105991,0,5,5
459.536,0.0732077,0.0746723,0.00107252,0.00107252,0,6,6
465.062,0.0732077,0.0746723,0.00108543,0.00108543,0,7,7
470.704,0.0732077,0.0746723,0.00109862,0.00109862,0,8,8
476.475,0.0732077,0.0746723,0.00111209,0.00111209,0,9,9
482.374,0.0732077,0.0746723,0.00112589,0.00112589,0,10,10
488.408,0.0732077,0.0746723,0.00113998,0.00113998,0,11,11
494.582,0.0732077,0.0746723,0.00115442,0.00115442,0,12,12
500.9,0.0732077,0.0746723,0.00116917,0.00116917,0,13,13
507.368,0.0732077,0.0746723,0.0011843,0.0011843,0,14,14
513.99,0.0732077,0.0746723,0.00119977,0.00119977,0,15,15
520.772,0.0732077,0.0746723,0.00121563,0.00121563,0,16,16
527.721,0.0732077,0.0746723,0.00123186,0.00123186,0,17,17
534.842,0.0732077,0.0746723,0.00124851,0.00124851,0,18,18
542.142,0.0732077,0.0746723,0.00126557,0.00126557,0,19,19
549.627,0.0732077,0.0746723,0.00128307,0.00128307,0,20,20
557.306,0.0732077,0.0746723,0.00130101,0.00130101,0,21,21
565.186,0.0732077,0.0746723,0.00131944,0.00131944,0,22,22
573.275,0.0732077,0.0746723,0.00133833,0.00133833,0,23,23
581.581,0.0732077,0.0746723,0.00135775,0.00135775,0,24,24
590.112,0.0732077,0.0746723,0.00137768,0.00137768,0,25,25
598.878,0.0732077,0.0746723,0.00139818,0.00139818,0,26,26
607.889,0.0732077,0.0746723,0.00141922,0.00141922,0,27,27
617.155,0.0732077,0.0746723,0.00144089,0.00144089,0,28,28
626.688,0.0732077,0.0746723,0.00146315,0.00146315,0,29,29
636.498,0.0732077,0.0746723,0.0014861,0.0014861,0,30,30
646.599,0.0732077,0.0746723,0.00150968,0.00150968,0,31,31
657.005,0.0732077,0.0746723,0.00153402,0.00153402,0,32,32
667.728,0.0732077,0.0746723,0.00155905,0.00155905,0,33,33
678.783,0.0732077,0.0746723,0.0015849,0.0015849,0,34,34
690.187,0.0732077,0.0746723,0.00161153,0.00161153,0,35,35
701.956,0.0732077,0.0746723,0.00163904,0.00163904,0,36,36
714.107,0.0732077,0.0746723,0.00166741,0.00166741,0,37,37
726.66,0.0732077,0.0746723,0.00169675,0.00169675,0,38,38
739.634,0.0732077,0.0746723,0.00172704,0.00172704,0,39,39
753.053,0.0732077,0.0746723,0.00175841,0.00175841,0,40,40
766.939,0.0732077,0.0746723,0.00179082,0.00179082,0,41,41
781.316,0.0732077,0.0746723,0.00182443,0.00182443,0,42,42
796.212,0.0732077,0.0746723,0.00185919,0.00185919,0,43,43
811.653,0.0732077,0.0746723,0.00189528,0.00189528,0,44,44
827.669,0.0732077,0.0746723,0.00193266,0.00193266,0,45,45
844.295,0.0732077,0.0746723,0.00197153,0.00197153,0,46,46
861.57,0.0732077,0.0746723,0.00201184,0.00201184,0,47,47
879.53,0.0732077,0.0746723,0.00205382,0.00205382,0,48,48
898.217,0.0732077,0.0746723,0.00209741,0.00209741,0,49,49
917.675,0.0732077,0.0746723,0.00214289,0.00214289,0,50,50
937.951,0.0732077,0.0746723,0.00219018,0.00219018,0,51,51
959.098,0.0732077,0.0746723,0.00223961,0.00223961,0,52,52
981.171,0.0732077,0.0746723,0.00229109,0.00229109,0,53,53
1004.24,0.0732077,0.0746723,0.00234501,0.00234501,0,54,54
1028.36,0.0732077,0.0746723,0.00240127,0.00240127,0,55,55
1053.63,0.0732077,0.0746723,0.00246034,0.00246034,0,56,56
1080.09,0.0732077,0.0746723,0.00252204,0.00252204,0,57,57
1107.94,0.0732077,0.0746722,0.00258708,0.00258708,0,58,58
1137,0.0732077,0.0746723,0.00265493,0.00265493,0,59,59
1168.02,0.0732077,0.0746723,0.00272717,0.00272717,0,60,60
1199.7,0.0732077,0.0746723,0.00280152,0.00280152,0,61,61
1235.3,0.0732077,0.0746723,0.0028835,0.0028835,0,62,62
1268.12,0.0732077,0.0746723,0.00296243,0.00296243,0,63,63
1313.36,0.0732077,0.0746723,0.0030623,0.0030623,0,64,64
1338.17,0.0732077,0.0746724,0.00313204,0.00313204,0,65,65
1415.28,0.0732077,0.0746726,0.00328402,0.00328402,0,66,66
1385.41,0.0732077,0.074673,0.00327214,0.00327214,0,67,67
1597.85,0.0732077,0.0746738,0.00363219,0.00363219,0,68,68
1280.11,0.0732077,0.0746756,0.00317193,0.00317193,0,69,69
2167.15,0.0732076,0.0746795,0.00496489,0.00496489,0,70,70
3358.89,0.0732073,0.0746884,0.00829202,0.00829202,0,71,71
8445.42,0.0732068,0.0747078,0.0194643,0.0194643,0,72,72
18897.6,0.0732054,0.0747529,0.0418786,0.0418786,0,73,73
36448.3,0.0732022,0.0748515,0.071661,0.071661,0,74,74
80647.5,0.0731957,0.0750392,0.0750392,0.0750392,0,75,75
143067,0.0731814,0.0753849,0.0753849,0.0753849,0,76,76
134214,0.0731551,0.0759297,0.0759297,0.0759297,0,77,77
106996,0.0731201,0.076565,0.0624634,0.0624634,0,78,78
114611,0.0730874,0.0770791,0.044873,0.044873,0,79,79
78172.2,0.0730624,0.0774065,0.0258697,0.0258697,0,80,80
36367.4,0.0730423,0.077629,0.0126881,0.0126881,0,81,81
